id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
852,gaitpart_GREW.csv,0.49066,0.53716,0.0465,0.514 / 0.308 / 0.650,0.629 / 0.444 / 0.538,0.114 / 0.137 / -0.112
853,gaitpart_OUMVLP.csv,0.61416,0.63333,0.01917,0.714 / 0.462 / 0.667,0.700 / 0.533 / 0.667,-0.014 / 0.072 / 0.000
854,gaitset.csv,0.37845,0.49528,0.11683,0.577 / 0.286 / 0.273,0.596 / 0.462 / 0.429,0.019 / 0.176 / 0.156
855,gaitset_GREW.csv,0.46731,0.43434,-0.03297,0.638 / 0.364 / 0.400,0.485 / 0.273 / 0.545,-0.153 / -0.091 / 0.145
856,gaitset_OUMVLP.csv,0.46604,0.46536,-0.00068,0.667 / 0.471 / 0.261,0.529 / 0.333 / 0.533,-0.137 / -0.137 / 0.272
857,gln_phase1.csv,0.54575,0.43932,-0.10643,0.711 / 0.364 / 0.562,0.718 / 0.000 / 0.600,0.007 / -0.364 / 0.037
858,gln_phase2.csv,0.46795,0.51934,0.05139,0.654 / 0.333 / 0.417,0.679 / 0.545 / 0.333,0.025 / 0.212 / -0.083
885,baseline_CASIAB.csv,0.47525,0.37566,-0.09959,0.632 / 0.308 / 0.486,0.571 / 0.000 / 0.556,-0.060 / -0.308 / 0.069
886,baseline_OUMVLP.csv,0.55325,0.4869,-0.06635,0.611 / 0.400 / 0.649,0.619 / 0.375 / 0.467,0.008 / -0.025 / -0.182
887,gaitgl.csv,0.50354,0.44815,-0.05539,0.545 / 0.429 / 0.537,0.400 / 0.500 / 0.444,-0.145 / 0.071 / -0.092
888,gaitgl_GREW.csv,0.45812,0.47673,0.01861,0.462 / 0.400 / 0.513,0.615 / 0.444 / 0.370,0.154 / 0.044 / -0.142
889,gaitgl_GREW_BNNeck.csv,0.21538,0.41273,0.19735,0.646 / 0.000 / 0.000,0.537 / 0.250 / 0.452,-0.110 / 0.250 / 0.452
