id,timestamp,target_embedding,source_params,model,seed,input_dim,architecture_pattern,num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training
30,20250916_150714,baseline_OUMVLP.csv,gaitgl.csv,LSTM,42,256,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.00737,0.47727,105,0.21538,0.21538,105,1.00737,STOPPED
31,20250916_150714,gaitgl.csv,gaitgl.csv,LSTM,42,128,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.00865,0.47727,126,0.21538,0.21538,126,1.00865,STOPPED
32,20250916_150714,gaitgl_GREW.csv,gaitgl.csv,LSTM,42,256,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.00836,0.47727,132,0.21538,0.21538,132,1.00836,STOPPED
33,20250916_150714,gaitgl_GREW_BNNeck.csv,gaitgl.csv,LSTM,42,256,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.01186,0.47727,103,0.21538,0.21538,103,1.01186,STOPPED
34,20250916_150714,gaitgl_OUMVLP.csv,gaitgl.csv,LSTM,42,256,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.01149,0.47727,103,0.21538,0.21538,103,1.01149,STOPPED
35,20250916_150714,gaitpart.csv,gaitgl.csv,LSTM,42,128,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,0.88649,0.5,457,0.22222,0.22222,457,0.88649,STOPPED
36,20250916_150714,gaitpart_GREW.csv,gaitgl.csv,LSTM,42,256,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.00543,0.47727,106,0.21538,0.21538,106,1.00543,STOPPED
37,20250916_150714,gaitpart_OUMVLP.csv,gaitgl.csv,LSTM,42,256,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.00984,0.47727,107,0.21538,0.21538,107,1.00984,STOPPED
38,20250916_150714,gaitset.csv,gaitgl.csv,LSTM,42,256,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.00549,0.47727,128,0.21538,0.21538,128,1.00549,STOPPED
39,20250916_150714,gaitset_GREW.csv,gaitgl.csv,LSTM,42,256,decreasing,3,"[448, 384, 256]",True,minmax,0.4,[1],[],attention,128.0,gelu,True,96,AdamW,,0.0001,5e-07,1.00591,0.47727,104,0.21538,0.21538,104,1.00591,STOPPED
